Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
53001,"Warhammer 40,000: Dawn of War: Platinum Edition",PC,THQ,Relic,,,,,,,,,,06th Jun 07,,Strategy
53002,"Warhammer 40,000: Dawn of War: Winter Assault",PC,THQ,Relic,,8.4,,,,,,,,21st Sep 05,,Strategy
53003,"Warhammer 40,000: Eternal Crusade",Linux,Behaviour Interactive,Behaviour Interactive,,,,,,,,,,01st Jan 16,,Shooter
53004,"Warhammer 40,000: Glory in Death",NGage,Nokia,Razorback Developments,,,,,,,,,,01st Jan 06,,Strategy
53005,"Warhammer 40,000: Kill Team",XBL,THQ,THQ,,6.0,,,,,,,,13th Jul 11,,Shooter
53006,"Warhammer 40,000: Kill Team",PSN,THQ,THQ,,,,,,,,,,02nd Aug 11,,Shooter
53007,"Warhammer 40,000: Kill Team",PC,Sega,Unknown,,,,,,,,,,22nd May 14,,Misc
53008,"Warhammer 40,000: Rites of War",PC,SSI,DreamForge Intertainment,,8.0,,,,,,,,30th Jun 99,,Strategy
53009,Warhammer Quest,Linux,Chilled Mouse,Rodeo Games,,,,,,,,,,07th Jan 15,,Strategy
53010,Warhammer Quest,OSX,Chilled Mouse,Rodeo Games,,,,,,,,,,07th Jan 15,,Strategy
53011,Warhammer Quest,PC,Chilled Mouse,Rodeo Games,,,,,,,,,,07th Jan 15,,Strategy
53012,Warhammer: Shadow of the Horned Rat,PC,Mindscape,Mindscape,,,,,,,,,,11th Nov 95,,Strategy
53013,Warhawk,PSN,Sony Computer Entertainment,Incognito Entertainment,,,,,,,,,,28th Aug 07,,Shooter
53014,Warhawk (1996),PSN,Sony Computer Entertainment,SingleTrac,,,,,,,,,,19th Dec 07,,Simulation
53015,Warhound,X360,Unknown,Techland,,,,,,,,,,,,Shooter
53016,Warhound,PC,Unknown,Techland,,,,,,,,,,,,Shooter
53017,Wario Blast: Featuring Bomberman!,GB,Nintendo,Hudson Soft,,,,,,,,,,01st Nov 94,,Puzzle
53018,Wario Land 4,WiiU,Nintendo,Unknown,,,,,,,,,,08th May 14,,Misc
53019,Wario's Woods,NES,Nintendo,Nintendo,,,,,,,,,,10th Dec 94,,Puzzle
53020,Wario's Woods,SNES,Nintendo,Intelligent Systems,,,,,,,,,,10th Dec 93,,Puzzle
53021,Wario's Woods,VC,Nintendo,Nintendo,,7.5,,,,,,,,19th Nov 06,,Puzzle
53022,WarioWare D.I.Y. Showcase,WW,Nintendo,Intelligent Systems,,,,,,,,,,29th Mar 10,,Misc
53023,"WarioWare, Inc.: Mega MicroGame$",WiiU,Nintendo,Unknown,,,,,,,,,,10th Apr 14,,Misc
53024,WarioWare: Snapped!Read the review,DSiW,Nintendo,Intelligent Systems,6.3,,,,,,,,,05th Apr 09,,Misc
53025,Warlock,SNES,Acclaim Entertainment,Realtime Associates,,,,,,,,,,01st Jan 94,,Action
53026,Warlock,GEN,Acclaim Entertainment,Realtime Associates,,,,,,,,,,01st Jan 94,,Action
53027,Warlocked,GBC,Nintendo,Bits Studios,,,,,,,,,,24th Jul 00,06th Jan 18,Strategy
53028,Warlords,2600,Atari,Atari,,,,,,,,,,01st Jan 81,,Action
53029,Warlords,XBL,Atari,Stainless Games,,,,,,,,,,28th May 08,,Action
53030,Warlords,PC,Unknown,SSG,,,,,,,,,,,,Strategy
53031,Warlords,X360,Unknown,Griptonite Games,,,,,,,,,,,,Action
53032,Warlords (2011),PSN,Atari,Griptonite Games,,,,,,,,,,,,Action
53033,Warlords (2011),XBL,Unknown,Griptonite Games,,,,,,,,,,,,Action
53034,Warlords Battlecry,PC,SSI,Strategic Studies Group,,,,,,,,,,09th Jul 00,,Strategy
53035,Warlords Battlecry II,PC,Ubisoft,Strategic Studies Group,,,,,,,,,,11th Mar 02,,Strategy
53036,Warlords Battlecry III,PC,Enlight,Infinite Interactive,,,,,,,,,,19th May 04,,Strategy
53037,Warlords DS,DS,Unknown,Glyphic Entertainment,,,,,,,,,,,,Strategy
53038,Warlords II,PC,Strategic Studies Group,SSG,,,,,,,,,,01st Jan 93,,Strategy
53039,Warlords III: Darklords Rising,PC,Ubisoft,SSG,,,,,,,,,,31st Aug 98,,Strategy
53040,Warlords III: Reign of Heroes,PC,Broderbund,SSG,,,,,,,,,,31st Jul 97,,Strategy
53041,Warm Gun,PC,Unknown,Unknown,,,,,,,,,,01st Jan 15,,Misc
53042,Warmachine: Tactics,OSX,Privateer Press Interactive,WhiteMoon Dreams,,,,,,,,,,21st Nov 14,12th Apr 19,Strategy
53043,Warmachine: Tactics,PC,Privateer Press Interactive,WhiteMoon Dreams,,,,,,,,,,21st Nov 14,12th Apr 19,Strategy
