Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
11,Assassin's Creed,Series,Ubisoft,Ubisoft,,,,200.00m,,,,,,13th Nov 07,11th Feb 20,Action-Adventure
12,Final Fantasy,Series,Square,Square,,,,200.00m,,,,,,18th Dec 87,28th Feb 20,Role-Playing
13,The Sims,Series,Electronic Arts,Maxis,,,,200.00m,,,,,,04th Feb 00,18th Feb 20,Simulation
14,Mario Kart,Series,Nintendo,Nintendo,,,,188.93m,,,,,,01st Sep 92,20th Feb 20,Racing
15,Resident Evil,Series,Capcom,Capcom,,,,167.00m,,,,,,30th Mar 96,03rd Feb 20,Action-Adventure
16,The Legend of Zelda,Series,Nintendo,Nintendo,,,,158.26m,,,,,,14th Jul 87,03rd Feb 20,Action-Adventure
17,NBA 2K,Series,2K Games,Visual Concepts,,,,155.00m,,,,,,10th Nov 99,16th Feb 20,Sports
18,Tomb Raider,Series,Eidos Interactive,Core Design,,,,153.00m,,,,,,14th Nov 96,27th Feb 20,Action-Adventure
19,Need for Speed,Series,Electronic Arts,EA Black Box,,,,150.00m,,,,,,31st Aug 94,24th Feb 20,Racing
20,Wii/Nintendo Sports,Series,Nintendo,Nintendo,,,,131.78m,,,,,,19th Nov 06,07th Feb 23,Sports
